プレイヤー名,平均順位,和了率,放銃率,和了率-放銃率,副露率,副露成功率,リーチ率,ダマ和了率,平均打点,平均放銃点,流局聴牌率,総ゲーム数,総局数,和了回数,放銃回数
うっしー00,2.679,20.59,12.87,7.72,27.21,31.08,19.85,51.79,6011,4863,34.09,28,272,56,35
boyatetu,2.680,17.88,9.85,8.03,22.99,30.16,17.88,55.10,5792,5281,33.96,25,274,49,27
MAK0104,2.680,20.99,16.41,4.58,33.97,24.72,18.70,54.55,6187,5193,28.89,25,262,55,43
北天神の生菜,2.684,20.67,15.68,4.99,34.20,24.31,19.95,50.57,6351,5886,42.47,38,421,87,66
おろぽん2号,2.688,22.03,13.91,8.12,35.94,31.45,20.29,59.21,4964,5817,43.40,32,345,76,48
1ta,2.689,22.93,13.26,9.67,35.26,33.19,21.53,59.18,4924,5182,40.91,61,641,147,85
shokola2,2.690,17.59,13.58,4.01,27.47,24.72,19.44,45.61,6219,5048,34.85,29,324,57,44
ナナハ,2.690,19.12,12.31,6.81,29.67,25.19,15.38,57.47,6136,5250,44.07,42,455,87,56
グリグリ棒,2.692,17.96,14.07,3.89,33.33,25.00,16.11,61.86,6020,4893,45.98,52,540,97,76
象,2.692,19.01,13.28,5.73,31.51,29.75,18.23,64.38,5995,5357,32.14,39,384,73,51
天才麻将智乃,2.692,18.82,12.92,5.90,26.20,26.76,19.56,54.90,5822,3789,29.55,26,271,51,35
ゲス茂勝,2.694,21.36,12.88,8.47,35.93,27.36,17.97,57.14,5270,6142,40.38,49,295,63,38
an_,2.696,16.10,11.02,5.08,40.25,22.11,17.37,57.89,5853,6669,47.50,23,236,38,26
漂う,2.696,25.00,10.77,14.23,35.38,35.87,13.46,66.15,4478,4496,44.74,23,260,65,28
よしだいたる,2.700,20.06,14.51,5.56,25.00,29.63,21.30,47.69,5631,5583,45.16,30,324,65,47
白霊夢,2.700,18.40,13.68,4.72,35.38,17.33,16.98,53.85,5977,4886,41.67,20,212,39,29
あおまめ,2.703,16.50,13.71,2.79,32.74,20.93,20.05,49.23,6097,5100,37.68,37,394,65,54
フルゼンツくん,2.704,21.27,13.06,8.21,35.07,31.91,16.79,68.42,5154,5031,30.77,27,268,57,35
髭鯨,2.706,16.78,11.51,5.27,27.74,27.00,16.50,52.89,5656,4849,40.77,68,721,121,83
かめじろう,2.706,20.61,12.90,7.71,36.56,25.49,18.64,55.65,5659,4679,30.68,51,558,115,72
淳子です,2.707,17.88,12.75,5.12,33.50,27.99,13.00,69.23,5739,5132,46.83,75,800,143,102
うちー,2.707,22.22,15.94,6.28,34.54,31.47,21.50,60.87,5911,5867,49.06,41,414,92,66
